,photo_id,business_id,caption,label
0,Chro0cjWAFLtdv-pmGSB6Q,oBNrLz4EDhiscSlbOl8uAw,Bacon Infused Bloody Mary,drink
1,BD8F_GP5TiNCiajFVPqZOA,SV04xdj87VOEa4GJ2dZm_g,,drink
2,Wo16TBTZHfapyV2n_KbCTQ,EM0jUQn-SEnttG8hf-Eq6A,Huckleberry lemon drop at the bar,drink
3,1gBfJMbZtrgcqqvgDaYWYA,5Z_KrsEQsPE0ibKwhYn3ZQ,,drink
4,Qy65xh-hrmPTb2k_-6uZnA,yd5CI-2fASWsrA92dUR1ZA,,drink
5,RqYIL128A5wtADfzn-wpRw,NUSp_d5o-_8INV_xBykUeg,Bone Marrow with Rye Whiskey,drink
6,jEJio-1PENLREdtySALH3A,t7fuo62w_L8O1ByxtzNy_Q,Mimosa & Bloody Mary Bar for Weekend Brunch in Cool Springs TN,drink
7,mhAfsxrJzpkvvmdMqSenXQ,ArGw19nfPgjR28TTfgb7iw,,drink
8,NjkV-myhRktIlTFQqaernw,K10IVbMOLu4vovuTBLqguw,Margaritas,drink
9,8nH8pNgNJuOnJUS1UJDZrw,qMPmxv3SjTlb0tAR9PoXSA,,drink
10,arJi6muQKU7203gE6zVniQ,zBzWWSk4sW0W1mhNjyzN1w,Adult Snow Cones,drink
11,TgVMPZWnXsNyBoGefbzN6g,vRm7mIVRfvzvBKhDe5DsOA,,drink
12,UHp7Eu6l7wP73Vr6LIR-WQ,Tf_Oj8uWRvXmqkEmntzTdA,Espresso Milk Punch at brunch!,drink
13,gfWKP65ZB_3l5a_wR5TxaA,i6YvzoCYT6vCxBxqD7nR-g,One of the best Aviations I have ever had.,drink
14,jIG5xWQalPZcymOJzQavbw,naN3lrbHYjCTVZjBgFb53Q,Iced Shaken Espresso,drink
15,hqPxs_sgkUc4I5o-woq_cQ,P3Oy6-nfqP46PmHJXNPLYA,,drink
